Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
12,2.2,0.078,0.58702,84.0516,96.6551,0.001
13,2.193,0.072,0.58246,83.7265,96.4454,0.001
14,2.2,0.079,0.54554,84.4605,97.0746,0.0001
15,2.206,0.082,0.53564,85.7607,97.1375,0.0001
16,2.195,0.072,0.5209,85.7398,97.127,0.0001
17,2.2,0.076,0.5283,85.4042,97.148,0.0001
18,2.189,0.068,0.50592,86.0229,97.4206,1e-05
19,2.204,0.085,0.51643,85.5615,97.4625,1e-05
20,2.198,0.078,0.51171,85.897,97.1899,1e-05
21,2.197,0.076,0.50823,85.8761,97.3367,1.0000000000000002e-06
22,2.205,0.085,0.51451,85.593,97.3367,1.0000000000000002e-06
23,2.191,0.074,0.52448,85.4357,97.1689,1.0000000000000002e-07
24,2.193,0.074,0.52645,85.4986,97.2213,1.0000000000000002e-07
25,2.191,0.072,0.52393,85.7398,97.2528,1.0000000000000004e-08
26,2.2,0.078,0.50629,86.4003,97.1899,1.0000000000000004e-08
0,2.335,0.078,3.76369,13.023,33.6164,0.01
1,2.199,0.078,2.54481,34.4133,68.3129,0.01
2,2.201,0.078,2.01872,46.7862,77.8022,0.01
3,2.19,0.069,1.73736,53.2453,83.024,0.01
4,2.193,0.071,1.55634,58.1944,85.7502,0.01
5,2.191,0.068,1.3774,61.5183,87.8473,0.01
6,2.203,0.082,1.29935,65.1043,89.137,0.01
7,2.189,0.073,1.16296,68.0612,90.7308,0.01
8,2.194,0.075,1.10799,69.309,91.8423,0.01
9,2.195,0.074,0.75848,78.2321,94.8307,0.001
10,2.191,0.074,0.6411,81.9755,96.0784,0.001
11,2.194,0.073,0.5967,83.1603,96.5188,0.001
12,2.189,0.074,0.57911,83.6007,96.5922,0.0001
13,2.195,0.075,0.56989,83.7475,96.5188,0.0001
14,2.196,0.077,0.56802,83.7999,96.739,0.0001
15,2.201,0.079,0.5696,83.9153,96.6237,1e-05
16,2.184,0.066,0.54872,84.0411,97.127,1e-05
0,2.311,0.042,3.70461,14.0296,35.6821,0.01
1,2.179,0.059,2.5587,34.5392,67.6942,0.01
2,2.184,0.062,2.12149,44.4899,76.0407,0.01
3,2.187,0.07,1.86783,50.3303,80.843,0.01
4,2.17,0.048,1.67534,56.2022,84.1669,0.01
5,2.193,0.07,1.23648,65.8173,89.4516,0.001
6,2.181,0.059,1.06608,70.2422,91.4439,0.001
7,2.176,0.055,1.02039,71.6053,92.0625,0.001
8,2.183,0.06,0.95298,73.3669,92.9642,0.001
9,2.189,0.064,0.91566,74.4259,93.0796,0.001
